fleet-server_1  | Performing setup of Fleet in Kibana
fleet-server_1  | 2021-09-08T14:08:54.765Z	INFO	log/reporter.go:40	2021-09-08T14:08:54Z - message: Application: filebeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to STARTING: Starting - type: 'STATE' - sub_type: 'STARTING'
fleet-server_1  | 2021-09-08T14:08:56.007Z	INFO	log/reporter.go:40	2021-09-08T14:08:56Z - message: Application: filebeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to RUNNING: Running - type: 'STATE' - sub_type: 'RUNNING'
fleet-server_1  | 2021-09-08T14:08:59.164Z	INFO	log/reporter.go:40	2021-09-08T14:08:59Z - message: Application: metricbeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to STARTING: Starting - type: 'STATE' - sub_type: 'STARTING'
fleet-server_1  | 2021-09-08T14:08:59.167Z	INFO	stateresolver/stateresolver.go:66	Updating internal state
fleet-server_1  | 2021-09-08T14:09:00.594Z	INFO	log/reporter.go:40	2021-09-08T14:09:00Z - message: Application: metricbeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to RUNNING: Running - type: 'STATE' - sub_type: 'RUNNING'
fleet-server_1  | 2021-09-08T14:09:02.420Z	INFO	stateresolver/stateresolver.go:48	New State ID is sv4M2Whh
fleet-server_1  | 2021-09-08T14:09:02.420Z	INFO	stateresolver/stateresolver.go:49	Converging state requires execution of 2 step(s)
fleet-server_1  | 2021-09-08T14:09:02.476Z	INFO	operation/operator.go:269	operation 'operation-install' skipped for fleet-server.7.15.0-SNAPSHOT
fleet-server_1  | 2021-09-08T14:09:02.476Z	INFO	operation/operator.go:269	operation 'operation-start' skipped for fleet-server.7.15.0-SNAPSHOT
fleet-server_1  | 2021-09-08T14:09:02.638Z	INFO	log/reporter.go:40	2021-09-08T14:09:02Z - message: Application: fleet-server--7.15.0-SNAPSHOT[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to CONFIG: Re-configuring - type: 'STATE' - sub_type: 'CONFIG'
fleet-server_1  | 2021-09-08T14:09:02.708Z	INFO	operation/operator.go:269	operation 'operation-install' skipped for filebeat.7.15.0-SNAPSHOT
fleet-server_1  | 2021-09-08T14:09:02.708Z	INFO	operation/operator.go:269	operation 'operation-start' skipped for filebeat.7.15.0-SNAPSHOT
fleet-server_1  | 2021-09-08T14:09:02.712Z	INFO	process/configure.go:50	initiating restart of 'filebeat' due to config change
fleet-server_1  | 2021-09-08T14:09:04.233Z	INFO	log/reporter.go:40	2021-09-08T14:09:04Z - message: Application: filebeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to STOPPED: Stopped - type: 'STATE' - sub_type: 'STOPPED'
fleet-server_1  | 2021-09-08T14:09:04.491Z	INFO	log/reporter.go:40	2021-09-08T14:09:04Z - message: Application: filebeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to STARTING: Starting - type: 'STATE' - sub_type: 'STARTING'
fleet-server_1  | 2021-09-08T14:09:04.773Z	INFO	operation/operator.go:269	operation 'operation-install' skipped for metricbeat.7.15.0-SNAPSHOT
fleet-server_1  | 2021-09-08T14:09:04.773Z	INFO	operation/operator.go:269	operation 'operation-start' skipped for metricbeat.7.15.0-SNAPSHOT
fleet-server_1  | 2021-09-08T14:09:04.775Z	INFO	process/configure.go:50	initiating restart of 'metricbeat' due to config change
fleet-server_1  | 2021-09-08T14:09:05.300Z	INFO	log/reporter.go:40	2021-09-08T14:09:05Z - message: Application: metricbeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to STOPPED: Stopped - type: 'STATE' - sub_type: 'STOPPED'
fleet-server_1  | 2021-09-08T14:09:05.700Z	INFO	log/reporter.go:40	2021-09-08T14:09:05Z - message: Application: filebeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to RUNNING: Running - type: 'STATE' - sub_type: 'RUNNING'
fleet-server_1  | 2021-09-08T14:09:06.124Z	INFO	log/reporter.go:40	2021-09-08T14:09:06Z - message: Application: metricbeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to STARTING: Starting - type: 'STATE' - sub_type: 'STARTING'
fleet-server_1  | 2021-09-08T14:09:06.124Z	INFO	stateresolver/stateresolver.go:66	Updating internal state
fleet-server_1  | 2021-09-08T14:09:07.491Z	INFO	log/reporter.go:40	2021-09-08T14:09:07Z - message: Application: metricbeat--7.15.0-SNAPSHOT--36643631373035623733363936343635[feb4af78-aecb-40d3-9db0-bd0ca7b902c4]: State changed to RUNNING: Running - type: 'STATE' - sub_type: 'RUNNING'
