package-registry_1  | 2021/09/08 14:07:34 Package registry started.
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.7.0	/packages/production/cisco/0.7.0
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.7.1	/packages/production/cisco/0.7.1
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.7.2	/packages/production/cisco/0.7.2
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.7.7	/packages/production/cisco/0.7.7
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.7.8	/packages/production/cisco/0.7.8
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.8.1	/packages/production/cisco/0.8.1
package-registry_1  | 2021/09/08 14:07:34 cisco               	     0.9.1	/packages/production/cisco/0.9.1
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.1.0	/packages/production/crowdstrike/0.1.0
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.1.1	/packages/production/crowdstrike/0.1.1
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.2.3	/packages/production/crowdstrike/0.2.3
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.2.4	/packages/production/crowdstrike/0.2.4
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.3.1	/packages/production/crowdstrike/0.3.1
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.4.1	/packages/production/crowdstrike/0.4.1
package-registry_1  | 2021/09/08 14:07:34 crowdstrike         	     0.6.0	/packages/production/crowdstrike/0.6.0
package-registry_1  | 2021/09/08 14:07:34 cyberark            	     0.1.2	/packages/production/cyberark/0.1.2
package-registry_1  | 2021/09/08 14:07:34 cyberark            	     0.1.3	/packages/production/cyberark/0.1.3
package-registry_1  | 2021/09/08 14:07:34 cyberark            	     0.1.4	/packages/production/cyberark/0.1.4
package-registry_1  | 2021/09/08 14:07:34 cyberark            	     0.3.0	/packages/production/cyberark/0.3.0
package-registry_1  | 2021/09/08 14:07:34 cyberarkpas         	     1.0.0	/packages/production/cyberarkpas/1.0.0
package-registry_1  | 2021/09/08 14:07:34 cyberarkpas         	     1.1.0	/packages/production/cyberarkpas/1.1.0
package-registry_1  | 2021/09/08 14:07:34 cylance             	     0.1.0	/packages/production/cylance/0.1.0
package-registry_1  | 2021/09/08 14:07:34 cylance             	     0.1.2	/packages/production/cylance/0.1.2
package-registry_1  | 2021/09/08 14:07:34 cylance             	     0.1.3	/packages/production/cylance/0.1.3
package-registry_1  | 2021/09/08 14:07:34 cylance             	     0.1.4	/packages/production/cylance/0.1.4
package-registry_1  | 2021/09/08 14:07:34 cylance             	     0.3.0	/packages/production/cylance/0.3.0
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     0.0.5	/packages/production/elastic_agent/0.0.5
package-registry_1  | 2021/09/08 14:07:34 elastic_agent       	     0.0.6	/packages/production/elastic_agent/0.0.6
