elasticsearch_1  | Created elasticsearch keystore in /usr/share/elasticsearch/config/elasticsearch.keystore
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,732Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [rank-eval]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,732Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [reindex]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,732Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [repositories-metering-api]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,732Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [repository-encrypted]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,732Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [repository-url]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,732Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [runtime-fields-common]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,733Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [search-business-rules]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,733Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [searchable-snapshots]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,733Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [snapshot-repo-test-kit]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,733Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [spatial]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,733Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [test-delayed-aggs]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,733Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [test-error-query]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,734Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [transform]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,734Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [transport-netty4]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,734Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [unsigned-long]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,734Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [vector-tile]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,734Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [vectors]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,734Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [wildcard]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,735Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-aggregate-metric]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,735Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-analytics]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,735Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-async]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,735Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-async-search]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,735Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-autoscaling]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,736Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-ccr]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,736Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-core]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,736Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-data-streams]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,736Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-deprecation]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,736Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-enrich]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-eql]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-fleet]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-graph]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-identity-provider]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-ilm]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-logstash]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,737Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-ml]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,738Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-monitoring]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,738Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-ql]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,738Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-rollup]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,738Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-security]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,738Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-shutdown]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,738Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-sql]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,739Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-stack]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,739Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-text-structure]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,739Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-voting-only-node]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,739Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "loaded module [x-pack-watcher]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,740Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "no plugins loaded" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,770Z", "level": "INFO", "component": "o.e.e.NodeEnvironment", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "using [1] data paths, mounts [[/ (overlay)]], net usable_space [34.5gb], net total_space [58.4gb], types [overlay]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,771Z", "level": "INFO", "component": "o.e.e.NodeEnvironment", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "heap size [1gb], compressed ordinary object pointers [true]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:44,792Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "node name [013f5d6c2ef8], node ID [StdLjr0dQAWqupR_nuGQRA], cluster name [docker-cluster], roles [transform, data_frozen, master, remote_cluster_client, data, ml, data_content, data_hot, data_warm, data_cold, ingest]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:48,467Z", "level": "INFO", "component": "o.e.x.m.p.l.CppLogMessageHandler", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "[controller/561] [Main.cc@122] controller (64 bit): Version 7.15.0-SNAPSHOT (Build d0ab43b6c551f8) Copyright (c) 2021 Elasticsearch BV" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:48,804Z", "level": "INFO", "component": "o.e.x.s.a.Realms", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "license mode is [trial], currently licensed security realms are [reserved/reserved,file/default_file,native/default_native]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:48,811Z", "level": "INFO", "component": "o.e.x.s.a.s.FileRolesStore", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "parsed [0] roles from file [/usr/share/elasticsearch/config/roles.yml]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:49,482Z", "level": "INFO", "component": "o.e.i.g.LocalDatabases", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "initialized default databases [[GeoLite2-Country.mmdb, GeoLite2-City.mmdb, GeoLite2-ASN.mmdb]], config databases [[]] and watching [/usr/share/elasticsearch/config/ingest-geoip] for changes" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:49,483Z", "level": "INFO", "component": "o.e.i.g.DatabaseRegistry", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "initialized database registry, using geoip-databases directory [/tmp/elasticsearch-2466685127672321357/geoip-databases/StdLjr0dQAWqupR_nuGQRA]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:50,055Z", "level": "INFO", "component": "o.e.t.NettyAllocator", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=1mb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=4mb, heap_size=1gb}]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:50,116Z", "level": "INFO", "component": "o.e.d.DiscoveryModule", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "using discovery type [zen] and seed hosts providers [settings]" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:50,519Z", "level": "INFO", "component": "o.e.g.DanglingIndicesState", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:50,918Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "initialized" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:50,919Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "starting ..." }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:50,927Z", "level": "INFO", "component": "o.e.x.s.c.f.PersistentCache", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "persistent cache index loaded" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:51,034Z", "level": "INFO", "component": "o.e.t.TransportService", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:51,124Z", "level": "WARN", "component": "o.e.b.BootstrapChecks", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "the default discovery settings are unsuitable for production use; at least one of [discovery.seed_hosts, discovery.seed_providers, cluster.initial_master_nodes] must be configured" }
elasticsearch_1  | {"type": "server", "timestamp": "2021-09-08T14:07:51,124Z", "level": "WARN", "component": "o.e.b.BootstrapChecks", "cluster.name": "docker-cluster", "node.name": "013f5d6c2ef8", "message": "HTTPS is required in order to use the API key service; please enable HTTPS using the [xpack.security.http.ssl.enabled] setting or disable the API key service using the [xpack.security.authc.api_key.enabled] setting" }
