kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:10+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana_task_manager] INIT -> CREATE_NEW_TARGET. took: 506ms."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana_task_manager] CREATE_NEW_TARGET -> MARK_VERSION_INDEX_READY. took: 185ms."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana] CREATE_NEW_TARGET -> MARK_VERSION_INDEX_READY. took: 540ms."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana_task_manager] MARK_VERSION_INDEX_READY -> DONE. took: 160ms."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana_task_manager] Migration completed after 851ms"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana] MARK_VERSION_INDEX_READY -> DONE. took: 160ms."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","savedobjects-service"],"pid":1224,"message":"[.kibana] Migration completed after 854ms"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","plugins-system","standard"],"pid":1224,"message":"Starting [113] plugins: [translations,licensing,globalSearch,globalSearchProviders,banners,licenseApiGuard,code,usageCollection,xpackLegacy,taskManager,telemetryCollectionManager,telemetryCollectionXpack,kibanaUsageCollection,securityOss,share,screenshotMode,telemetry,newsfeed,mapsEms,mapsLegacy,legacyExport,kibanaLegacy,embeddable,uiActionsEnhanced,fieldFormats,expressions,charts,esUiShared,bfetch,data,savedObjects,visualizations,visTypeXy,visTypeVislib,visTypeTimelion,features,visTypeTagcloud,visTypeTable,visTypePie,visTypeMetric,visTypeMarkdown,tileMap,regionMap,presentationUtil,expressionShape,expressionRevealImage,expressionRepeatImage,expressionMetric,expressionImage,timelion,indexPatternFieldEditor,home,searchprofiler,painlessLab,grokdebugger,graph,visTypeVega,management,watcher,licenseManagement,indexPatternManagement,advancedSettings,discover,discoverEnhanced,dashboard,dashboardEnhanced,visualize,visTypeTimeseries,savedObjectsManagement,spaces,security,transform,savedObjectsTagging,lens,reporting,canvas,lists,ingestPipelines,fileUpload,maps,dataVisualizer,encryptedSavedObjects,dataEnhanced,dashboardMode,cloud,snapshotRestore,fleet,indexManagement,rollup,remoteClusters,crossClusterReplication,indexLifecycleManagement,eventLog,actions,alerting,triggersActionsUi,stackAlerts,ruleRegistry,osquery,ml,cases,timelines,securitySolution,observability,uptime,infra,upgradeAssistant,monitoring,logstash,enterpriseSearch,console,apmOss,apm]"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:11+00:00","tags":["info","plugins","monitoring","monitoring"],"pid":1224,"message":"config sourced from: production cluster"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:12+00:00","tags":["info","http","server","Kibana"],"pid":1224,"message":"http server running at http://0.0.0.0:5601"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:13+00:00","tags":["error","plugins","security","authentication"],"pid":1224,"message":"License is not available, authentication is not possible."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:13+00:00","tags":["info","plugins","monitoring","monitoring","kibana-monitoring"],"pid":1224,"message":"Starting monitoring stats collection"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:13+00:00","tags":["info","plugins","fleet"],"pid":1224,"message":"Custom registry url is an experimental feature and is unsupported."}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:13+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":340,"contentLength":144457},"message":"GET /login 200 340ms - 141.1KB"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installed common resources shared between all indices"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installing resources for index .alerts-observability.uptime.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installing resources for index .alerts-observability.logs.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installing resources for index .alerts-observability.metrics.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installing resources for index .alerts-observability.apm.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installed resources for index .alerts-observability.logs.alerts"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:14+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":32,"contentLength":144457},"message":"GET /login 200 32ms - 141.1KB"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installed resources for index .alerts-observability.metrics.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installed resources for index .alerts-observability.apm.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","ruleRegistry"],"pid":1224,"message":"Installed resources for index .alerts-observability.uptime.alerts"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:14+00:00","tags":["info","plugins","securitySolution"],"pid":1224,"message":"Dependent plugin setup complete - Starting ManifestTask"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:15+00:00","tags":["info","plugins","reporting"],"pid":1224,"message":"Browser executable: /usr/share/kibana/x-pack/plugins/reporting/chromium/headless_shell-linux_x64/headless_shell"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:15+00:00","tags":["warning","plugins","reporting"],"pid":1224,"message":"Enabling the Chromium sandbox provides an additional layer of protection."}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:15+00:00","tags":["info","plugins","reporting","store"],"pid":1224,"message":"Creating ILM policy for managing reporting indices: kibana-reporting"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:15+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":17,"contentLength":144457},"message":"GET /login 200 17ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:16+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":20,"contentLength":144457},"message":"GET /login 200 20ms - 141.1KB"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:17+00:00","tags":["info","status"],"pid":1224,"message":"Kibana is now degraded"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:18+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":19,"contentLength":144457},"message":"GET /login 200 19ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:19+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":18,"contentLength":144457},"message":"GET /login 200 18ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:20+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":19,"contentLength":144457},"message":"GET /login 200 19ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:21+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":16,"contentLength":144457},"message":"GET /login 200 16ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:22+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":20,"contentLength":144457},"message":"GET /login 200 20ms - 141.1KB"}
kibana_1  | {"type":"log","@timestamp":"2021-09-08T14:08:23+00:00","tags":["info","status"],"pid":1224,"message":"Kibana is now available (was degraded)"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:23+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":21,"contentLength":144457},"message":"GET /login 200 21ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:25+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":21,"contentLength":144457},"message":"GET /login 200 21ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:26+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":21,"contentLength":144457},"message":"GET /login 200 21ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:27+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":17,"contentLength":144457},"message":"GET /login 200 17ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:28+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":22,"contentLength":144457},"message":"GET /login 200 22ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:29+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":19,"contentLength":144457},"message":"GET /login 200 19ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:31+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":22,"contentLength":144457},"message":"GET /login 200 22ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:32+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":26,"contentLength":144457},"message":"GET /login 200 26ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:33+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":18,"contentLength":144457},"message":"GET /login 200 18ms - 141.1KB"}
kibana_1  | {"type":"response","@timestamp":"2021-09-08T14:08:34+00:00","tags":[],"pid":1224,"method":"get","statusCode":200,"req":{"url":"/login","method":"get","headers":{"host":"127.0.0.1:5601","user-agent":"curl/7.61.1","accept":"*/*"},"remoteAddress":"127.0.0.1","userAgent":"curl/7.61.1"},"res":{"statusCode":200,"responseTime":26,"contentLength":144457},"message":"GET /login 200 26ms - 141.1KB"}
